"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4730","Проверка работы счетчика заказов на сегодня","tests","Tue Aug 05 04:35:04 MSK 2025","passed","Tue Aug 05 04:35:08 MSK 2025","TestOrderFeed","test_order_feed","",""
"","2097","Ввод почты и клик по кнопке 'Восстановить'","tests","Tue Aug 05 04:35:22 MSK 2025","passed","Tue Aug 05 04:35:24 MSK 2025","TestPasswordRestore","test_password_restore","",""
"","1406","Всплывающее окно закрывается кликом по крестику","tests","Tue Aug 05 04:34:31 MSK 2025","passed","Tue Aug 05 04:34:33 MSK 2025","TestMainFeatures","test_main_features","",""
"","1644","При добавлении ингредиента в заказ счётчик этого ингридиента увеличивается","tests","Tue Aug 05 04:34:34 MSK 2025","passed","Tue Aug 05 04:34:35 MSK 2025","TestMainFeatures","test_main_features","",""
"","4342","Проверка общего счетчика заказов","tests","Tue Aug 05 04:34:56 MSK 2025","passed","Tue Aug 05 04:35:00 MSK 2025","TestOrderFeed","test_order_feed","",""
"","589","Если кликнуть на ингредиент, появится всплывающее окно с деталями","tests","Tue Aug 05 04:34:29 MSK 2025","passed","Tue Aug 05 04:34:30 MSK 2025","TestMainFeatures","test_main_features","",""
"","620","Переход по клику на «Конструктор»","tests","Tue Aug 05 04:34:25 MSK 2025","passed","Tue Aug 05 04:34:25 MSK 2025","TestMainFeatures","test_main_features","",""
"","6090","Оформление заказа и его номера 'В работе'","tests","Tue Aug 05 04:35:12 MSK 2025","passed","Tue Aug 05 04:35:18 MSK 2025","TestOrderFeed","test_order_feed","",""
"","2855","Залогиненный пользователь может оформить заказ","tests","Tue Aug 05 04:34:38 MSK 2025","passed","Tue Aug 05 04:34:41 MSK 2025","TestMainFeatures","test_main_features","",""
"","1248","Заказы из история есть на странице в ленте заказов","tests","Tue Aug 05 04:34:50 MSK 2025","passed","Tue Aug 05 04:34:52 MSK 2025","TestOrderFeed","test_order_feed","",""
"","1249","Переход по клику на «Лента заказов»","tests","Tue Aug 05 04:34:27 MSK 2025","passed","Tue Aug 05 04:34:28 MSK 2025","TestMainFeatures","test_main_features","",""
"","865","Переход на страницу сброса пароля","tests","Tue Aug 05 04:35:20 MSK 2025","passed","Tue Aug 05 04:35:21 MSK 2025","TestPasswordRestore","test_password_restore","",""
"","1120","Выход из аккаунта через личный кабинет","tests","Tue Aug 05 04:34:22 MSK 2025","passed","Tue Aug 05 04:34:23 MSK 2025","TestPersonalAccount","test_account_actions","",""
"","2606","Нажатие на кнопку показать/скрыть пароль","tests","Tue Aug 05 04:35:26 MSK 2025","passed","Tue Aug 05 04:35:28 MSK 2025","TestPasswordRestore","test_password_restore","",""
"","627","Переход в раздел 'История заказов' из профиля","tests","Tue Aug 05 04:34:17 MSK 2025","passed","Tue Aug 05 04:34:18 MSK 2025","TestPersonalAccount","test_account_actions","",""
"","1406","Проверка всплывающего окна с деталями","tests","Tue Aug 05 04:34:43 MSK 2025","passed","Tue Aug 05 04:34:44 MSK 2025","TestOrderFeed","test_order_feed","",""
"","53","Переход в Личный кабинет по клику на 'Личный кабинет'","tests","Tue Aug 05 04:34:13 MSK 2025","passed","Tue Aug 05 04:34:13 MSK 2025","TestPersonalAccount","test_account_actions","",""
