"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3377","Проверка всплывающего окна с деталями","tests","Tue Aug 05 04:38:47 MSK 2025","passed","Tue Aug 05 04:38:50 MSK 2025","TestOrderFeed","test_order_feed","",""
"","4604","Проверка общего счетчика заказов","tests","Tue Aug 05 04:39:09 MSK 2025","passed","Tue Aug 05 04:39:13 MSK 2025","TestOrderFeed","test_order_feed","",""
"","2040","Ввод почты и клик по кнопке 'Восстановить'","tests","Tue Aug 05 04:39:49 MSK 2025","passed","Tue Aug 05 04:39:51 MSK 2025","TestPasswordRestore","test_password_restore","",""
"","1904","Заказы из история есть на странице в ленте заказов","tests","Tue Aug 05 04:39:00 MSK 2025","passed","Tue Aug 05 04:39:02 MSK 2025","TestOrderFeed","test_order_feed","",""
"","3208","Залогиненный пользователь может оформить заказ","tests","Tue Aug 05 04:38:39 MSK 2025","passed","Tue Aug 05 04:38:42 MSK 2025","TestMainFeatures","test_main_features","",""
"","2040","Переход по клику на «Лента заказов»","tests","Tue Aug 05 04:38:10 MSK 2025","passed","Tue Aug 05 04:38:12 MSK 2025","TestMainFeatures","test_main_features","",""
"","1070","Выход из аккаунта через личный кабинет","tests","Tue Aug 05 04:37:59 MSK 2025","passed","Tue Aug 05 04:38:00 MSK 2025","TestPersonalAccount","test_account_actions","",""
"","1876","Нажатие на кнопку показать/скрыть пароль","tests","Tue Aug 05 04:39:56 MSK 2025","passed","Tue Aug 05 04:39:58 MSK 2025","TestPasswordRestore","test_password_restore","",""
"","5872","Проверка работы счетчика заказов на сегодня","tests","Tue Aug 05 04:39:20 MSK 2025","passed","Tue Aug 05 04:39:25 MSK 2025","TestOrderFeed","test_order_feed","",""
"","1334","Если кликнуть на ингредиент, появится всплывающее окно с деталями","tests","Tue Aug 05 04:38:17 MSK 2025","passed","Tue Aug 05 04:38:18 MSK 2025","TestMainFeatures","test_main_features","",""
"","696","Переход по клику на «Конструктор»","tests","Tue Aug 05 04:38:05 MSK 2025","passed","Tue Aug 05 04:38:06 MSK 2025","TestMainFeatures","test_main_features","",""
"","1029","При добавлении ингредиента в заказ счётчик этого ингридиента увеличивается","tests","Tue Aug 05 04:38:31 MSK 2025","passed","Tue Aug 05 04:38:32 MSK 2025","TestMainFeatures","test_main_features","",""
"","1262","Переход на страницу сброса пароля","tests","Tue Aug 05 04:39:44 MSK 2025","passed","Tue Aug 05 04:39:45 MSK 2025","TestPasswordRestore","test_password_restore","",""
"","1631","Всплывающее окно закрывается кликом по крестику","tests","Tue Aug 05 04:38:25 MSK 2025","passed","Tue Aug 05 04:38:26 MSK 2025","TestMainFeatures","test_main_features","",""
"","53","Переход в Личный кабинет по клику на 'Личный кабинет'","tests","Tue Aug 05 04:37:44 MSK 2025","passed","Tue Aug 05 04:37:44 MSK 2025","TestPersonalAccount","test_account_actions","",""
"","5868","Оформление заказа и его номера 'В работе'","tests","Tue Aug 05 04:39:33 MSK 2025","passed","Tue Aug 05 04:39:39 MSK 2025","TestOrderFeed","test_order_feed","",""
"","549","Переход в раздел 'История заказов' из профиля","tests","Tue Aug 05 04:37:52 MSK 2025","passed","Tue Aug 05 04:37:53 MSK 2025","TestPersonalAccount","test_account_actions","",""
